CONTAINER_NO,VESSEL,MCHN_ID,MCHN_TP_CD,JOB_TYPE,FULL_EMPTY,BLOCK_BAY,JOB_END_DT
container83,ship0,TC242,TC,DS-YARDSIDE,M,1D-66,2018-01-31 11:02
container83,ship0,YT575,YT,DS-MOVE,M,1D-66,2018-01-31 11:00
container84,ship0,GC103,QC,DS-QUAYSIDE,F,1A-06,2018-01-31 5:07
container84,ship0,TC211,TC,DS-YARDSIDE,F,1A-06,2018-01-31 5:18
container84,ship0,YT564,YT,DS-MOVE,F,1A-06,2018-01-31 5:16
container85,ship0,GC107,QC,DS-QUAYSIDE,M,1F-22,2018-01-31 7:33
container85,ship0,TC261,TC,DS-YARDSIDE,M,1F-22,2018-01-31 7:46
container85,ship0,YT504,YT,DS-MOVE,M,1F-22,2018-01-31 7:44
container86,ship0,GC107,QC,DS-QUAYSIDE,F,2A-88,2018-01-31 4:26
container86,ship0,TC214,TC,DS-YARDSIDE,F,2A-88,2018-01-31 4:43
container86,ship0,YT510,YT,DS-MOVE,F,2A-88,2018-01-31 4:41
container87,ship0,GC106,QC,DS-QUAYSIDE,F,3C-44,2018-01-31 9:20
container87,ship0,TC236,TC,DS-YARDSIDE,F,3C-44,2018-01-31 9:33
container87,ship0,YT512,YT,DS-MOVE,F,3C-44,2018-01-31 9:32
container88,ship0,GC102,QC,DS-QUAYSIDE,F,3B-02,2018-01-31 15:44
container88,ship0,TC225,TC,DS-YARDSIDE,F,3B-02,2018-01-31 15:54
container88,ship0,YT517,YT,DS-MOVE,F,3B-02,2018-01-31 15:52
container89,ship0,GC103,GC,LD-QUAYSIDE,F,3.00E-50,2018-01-31 19:29
container89,ship0,TC256,TC,LD-YARDSIDE,F,3.00E-50,2018-01-31 19:26
container89,ship0,YT544,YT,LD-MOVE,F,3.00E-50,2018-01-31 19:27
container90,ship0,GC107,QC,DS-QUAYSIDE,F,1A-06,2018-01-31 5:34
container90,ship0,TC211,TC,DS-YARDSIDE,F,1A-06,2018-01-31 5:46
container90,ship0,YT540,YT,DS-MOVE,F,1A-06,2018-01-31 5:45
container91,ship0,GC104,QC,DS-QUAYSIDE,F,2.00E-48,2018-01-31 23:08
container91,ship0,TC253,TC,DS-YARDSIDE,F,2.00E-48,2018-01-31 23:16
container91,ship0,YT534,YT,DS-MOVE,F,2.00E-48,2018-01-31 23:14
container92,ship0,GC106,GC,LD-QUAYSIDE,F,3B-80,2018-01-31 21:47
container92,ship0,TC226,TC,LD-YARDSIDE,F,3B-80,2018-01-31 21:40
container92,ship0,YT563,YT,LD-MOVE,F,3B-80,2018-01-31 21:45
container93,ship0,GC106,GC,LD-QUAYSIDE,F,3.00E-94,2018-01-31 21:40
container93,ship0,TC256,TC,LD-YARDSIDE,F,3.00E-94,2018-01-31 21:38
container93,ship0,YT533,YT,LD-MOVE,F,3.00E-94,2018-01-31 21:39
container94,ship0,GC102,QC,DS-QUAYSIDE,F,3B-02,2018-01-31 13:46
container94,ship0,TC225,TC,DS-YARDSIDE,F,3B-02,2018-01-31 13:54
container94,ship0,YT542,YT,DS-MOVE,F,3B-02,2018-01-31 13:53
container95,ship0,GC105,GC,LD-QUAYSIDE,F,2D-10,2018-01-31 19:21
container95,ship0,TC243,TC,LD-YARDSIDE,F,2D-10,2018-01-31 19:19
container95,ship0,YT502,YT,LD-MOVE,F,2D-10,2018-01-31 19:20
container96,ship0,GC107,QC,DS-QUAYSIDE,F,2B-02,2018-01-31 3:58
container96,ship0,TC223,TC,DS-YARDSIDE,F,2B-02,2018-01-31 4:03
container96,ship0,YT564,YT,DS-MOVE,F,2B-02,2018-01-31 4:01
container97,ship0,GC105,QC,DS-QUAYSIDE,F,2G-06,2018-01-31 13:15
container97,ship0,TC273,TC,DS-YARDSIDE,F,2G-06,2018-01-31 13:23
container97,ship0,YT528,YT,DS-MOVE,F,2G-06,2018-01-31 13:21
container98,ship0,GC101,GC,LD-QUAYSIDE,M,3.00E-70,2018-01-31 16:28
container98,ship0,TC256,TC,LD-YARDSIDE,M,3.00E-70,2018-01-31 16:13
container98,ship0,YT596,YT,LD-MOVE,M,3.00E-70,2018-01-31 16:25
container99,ship0,GC101,QC,DS-QUAYSIDE,M,1C-64,2018-01-31 3:51
container99,ship0,TC232,TC,DS-YARDSIDE,M,1C-64,2018-01-31 3:56
container99,ship0,YT543,YT,DS-MOVE,M,1C-64,2018-01-31 3:54
container100,ship0,GC101,QC,DS-QUAYSIDE,M,2M-75,2018-01-31 10:15
container100,ship0,TH312,TH,DS-YARDSIDE,M,2M-75,2018-01-31 10:20
container100,ship0,YT503,YT,DS-MOVE,M,2M-75,2018-01-31 10:18
container101,ship0,GC101,GC,LD-QUAYSIDE,F,3.00E-43,2018-01-31 20:47
container101,ship0,TC255,TC,LD-YARDSIDE,F,3.00E-43,2018-01-31 20:42
container101,ship0,YT534,YT,LD-MOVE,F,3.00E-43,2018-01-31 20:45
container102,ship0,GC105,GC,LD-QUAYSIDE,F,2A-91,2018-01-31 21:27
container102,ship0,TC214,TC,LD-YARDSIDE,F,2A-91,2018-01-31 21:22
container102,ship0,YT531,YT,LD-MOVE,F,2A-91,2018-01-31 21:25
container103,ship0,GC101,QC,DS-QUAYSIDE,M,2B-71,2018-01-31 11:22
container103,ship0,TC224,TC,DS-YARDSIDE,M,2B-71,2018-01-31 11:35
container103,ship0,YT533,YT,DS-MOVE,M,2B-71,2018-01-31 11:33
container104,ship0,GC104,GC,LD-QUAYSIDE,F,1B-15,2018-01-31 19:12
container104,ship0,TC221,TC,LD-YARDSIDE,F,1B-15,2018-01-31 19:06
container104,ship0,YT503,YT,LD-MOVE,F,1B-15,2018-01-31 19:10
container105,ship0,GC105,GC,LD-QUAYSIDE,F,1B-73,2018-01-31 18:21
container105,ship0,TC222,TC,LD-YARDSIDE,F,1B-73,2018-01-31 18:18
container105,ship0,YT514,YT,LD-MOVE,F,1B-73,2018-01-31 18:18
container106,ship0,GC101,GC,LD-QUAYSIDE,F,2.00E-25,2018-01-31 22:16
